X,Y,Z,Cu,Mo
3899.95,4178.6597,4816.9844,-0.5208742761192257,-3.015914572916489
3899.95,4171.8496,4803.6191,-0.21443037155558292,-3.1465319077450333
3899.95,4165.04,4790.2544,-0.2331926245422456,-2.538294768367382
3899.95,4158.23,4776.8892,-0.5430028009613111,-2.6450613175329654
3899.95,4151.4204,4763.5239,-0.5074961725451276,-3.0790921435988987
3899.95,4144.6104,4750.1587,-0.5412831130391169,-3.0575864009026774
3899.95,4137.8003,4736.7939,-0.5395663773672496,-3.324208563134045
3899.95,4130.9907,4723.4287,-0.5887853634355238,-3.352378646472307
3899.95,4124.1807,4710.0635,-0.5225591936451927,-2.52571614438638
3899.95,4117.3711,4696.6987,-0.570927777925758,-3.0790921435988987
3899.95,4110.561,4683.3335,-0.5887853634355238,-3.1941588223313637
3899.95,4106.021,4674.4233,-0.46044783165612574,-3.2188508251806955
3499.95,4789.5381,5344.9067,-0.43695422721311716,-3.473735816952755
3499.95,4782.9556,5331.9873,-0.5242469549103689,-3.101070567236505
3499.95,4776.1455,5318.6221,-0.47803418804107467,-3.3813653430337873
3499.95,4769.3354,5305.2568,-0.4877587221718257,-2.956492329816388
3499.95,4762.5259,5291.8921,-0.5259375695300931,-3.0790921435988987
3499.95,4755.7158,5278.5269,-0.4338630394211765,-3.3813653430337873
3499.95,4748.9062,5265.1616,-0.48613138516068094,-2.937444497683484
3499.95,4742.0962,5251.7964,-0.5242469549103689,-3.3813653430337873
3499.95,4735.2861,5238.4316,-0.4231185166304932,-2.0794335417118357
3499.95,4728.4766,5225.0664,-0.4732071550595355,-3.015914572916489
3499.95,4721.6665,5211.7012,-0.4277091833143289,-2.6172821392974344
3499.95,4714.8569,5198.3359,-0.4572832770603777,-2.937444497683484
3499.95,4708.0469,5184.9712,-0.33967596307676556,-2.659245751320532
3499.95,4701.2368,5171.606,-0.410978780501786,-2.659245751320532
3499.95,4694.4272,5158.2407,-0.4494154282404563,-2.780604765034859
3499.95,4687.6172,5144.876,-0.48450669207331154,-2.353867861121208
3499.95,4680.8076,5131.5107,-0.3453097728600362,-2.8302008860675105
3499.95,4673.9976,5118.1455,-0.4155139288112984,-2.7488565707445343
3499.95,4667.188,5104.7803,-0.3915607236503262,-2.956492329816388
3499.95,4660.3779,5091.4155,-0.2797125800521561,-2.4533963548892563
3499.95,4653.5679,5078.0503,-0.3624041818671404,-2.419107673358064
3499.95,4646.7583,5064.6851,-0.45098405355249316,-3.1941588223313637
3499.95,4639.9482,5051.3203,-0.46840331043922495,-3.1941588223313637
3499.95,4633.1387,5037.9551,-0.4231185166304932,-2.7646046797007062
3499.95,4626.3286,5024.5898,-0.4049637338172623,-3.0575864009026774
3499.95,4619.5186,5011.2246,-0.5447254513052273,-2.688232868031808
3499.95,4612.709,4997.8599,-0.41703022703009823,-2.353867861121208
3499.95,4605.8989,4984.4946,-0.43540743888737676,-3.015914572916489
3499.95,4599.0894,4971.1294,-0.3481386250593032,-2.292624861199793
3499.95,4592.2793,4957.7642,-0.3424889004970636,-2.7968650215005737
3499.95,4585.4692,4944.3994,-0.48613138516068094,-3.244167992155575
3499.95,4578.6597,4931.0342,-0.49593536923746334,-3.1465319077450333
3499.95,4571.8496,4917.6689,-0.4246463984741195,-3.244167992155575
3499.95,4565.04,4904.3042,-0.44316541766099016,-3.170061851458401
